Time(sec)	CellId	BwpId	txStreamId 	IMSI	rxStreamId	pathLoss(dB)
0.58	1	0	0	1	0	-123.879
0.580071	1	0	0	1	0	-123.879
0.581	1	0	0	1	0	-123.879
0.581071	1	0	0	1	0	-123.879
0.582	1	0	0	1	0	-123.879
0.582071	1	0	0	1	0	-123.879
0.583	1	0	0	1	0	-123.879
0.583071	1	0	0	1	0	-123.879
0.584	1	0	0	1	0	-123.879
0.584071	1	0	0	1	0	-123.879
0.585	1	0	0	1	0	-123.879
0.585071	1	0	0	1	0	-123.879
0.585071	1	0	1	1	1	-123.879
0.586	1	0	0	1	0	-123.879
0.586071	1	0	0	1	0	-123.879
0.586071	1	0	1	1	1	-123.879
0.587	1	0	0	1	0	-123.879
0.587071	1	0	0	1	0	-123.879
0.587071	1	0	1	1	1	-123.879
0.588	1	0	0	1	0	-123.879
0.588071	1	0	0	1	0	-123.879
0.589	1	0	0	1	0	-123.879
0.589071	1	0	0	1	0	-123.879
0.589071	1	0	1	1	1	-123.879
0.59	1	0	0	1	0	-123.879
0.590071	1	0	0	1	0	-123.879
0.591	1	0	0	1	0	-123.879
0.591071	1	0	0	1	0	-123.879
0.592	1	0	0	1	0	-123.879
0.592071	1	0	0	1	0	-123.879
0.593	1	0	0	1	0	-123.879
0.593071	1	0	0	1	0	-123.879
0.594	1	0	0	1	0	-123.879
0.594071	1	0	0	1	0	-123.879
0.595	1	0	0	1	0	-123.879
0.595071	1	0	0	1	0	-123.879
0.596	1	0	0	1	0	-123.879
0.596071	1	0	0	1	0	-123.879
0.597	1	0	0	1	0	-123.879
0.597071	1	0	0	1	0	-123.879
0.598	1	0	0	1	0	-123.879
0.598071	1	0	0	1	0	-123.879
0.598071	1	0	1	1	1	-123.879
0.599	1	0	0	1	0	-123.879
0.599071	1	0	0	1	0	-123.879
0.6	1	0	0	1	0	-123.879
0.600071	1	0	0	1	0	-123.879
0.601	1	0	0	1	0	-123.879
0.601071	1	0	0	1	0	-123.879
0.602	1	0	0	1	0	-123.879
0.602071	1	0	0	1	0	-123.879
0.603	1	0	0	1	0	-123.879
0.603071	1	0	0	1	0	-123.879
0.604	1	0	0	1	0	-123.879
0.604071	1	0	0	1	0	-123.879
