time(s)	cellId	rnti	lcid	packetSize
1.314	2	1	4	8309
1.314	2	1	4	8309
1.316	2	1	4	8309
1.316	2	1	4	8309
1.317	2	1	4	8309
1.317	2	1	4	8309
1.32	2	1	4	8309
1.32	2	1	4	8309
1.321	2	1	4	8309
1.321	2	1	4	8309
1.322	2	1	4	95904
1.322	2	1	4	95904
1.323	2	1	4	95904
1.323	2	1	4	95904
1.324	2	1	4	135520
1.324	2	1	4	95904
1.325	2	1	4	135520
1.325	2	1	4	95904
1.326	2	1	4	95904
1.326	2	1	4	95904
1.327	2	1	4	95904
1.327	2	1	4	95904
1.328	2	1	4	95904
1.328	2	1	4	95904
1.331	2	1	4	95904
1.331	2	1	4	95904
1.332	2	1	4	95904
1.332	2	1	4	95904
1.333	2	1	4	95904
1.333	2	1	4	95904
1.334	2	1	4	95904
1.334	2	1	4	95904
1.335	2	1	4	135520
1.335	2	1	4	95904
1.336	2	1	4	135520
1.336	2	1	4	95904
1.337	2	1	4	95904
1.337	2	1	4	95904
1.338	2	1	4	95904
1.338	2	1	4	95904
1.339	2	1	4	95904
1.339	2	1	4	95904
1.342	2	1	4	95904
1.342	2	1	4	95904
1.343	2	1	4	95904
1.343	2	1	4	95904
1.344	2	1	4	95904
1.344	2	1	4	95904
1.345	2	1	4	95904
1.345	2	1	4	95904
1.346	2	1	4	135520
1.346	2	1	4	95904
1.347	2	1	4	135520
1.347	2	1	4	95904
1.348	2	1	4	95904
1.348	2	1	4	95904
1.349	2	1	4	95904
1.349	2	1	4	95904
1.35	2	1	4	95904
1.35	2	1	4	95904
1.353	2	1	4	95904
1.353	2	1	4	95904
1.354	2	1	4	95904
1.354	2	1	4	95904
1.355	2	1	4	95904
1.355	2	1	4	95904
1.356	2	1	4	87913
1.356	2	1	4	87913
1.357	2	1	4	135520
1.357	2	1	4	95904
1.358	2	1	4	135520
1.358	2	1	4	95904
1.359	2	1	4	95904
1.359	2	1	4	95904
1.36	2	1	4	95904
1.36	2	1	4	95904
1.361	2	1	4	95904
1.361	2	1	4	95904
1.364	2	1	4	95904
1.364	2	1	4	95904
1.365	2	1	4	95904
1.365	2	1	4	95904
1.366	2	1	4	95904
1.366	2	1	4	95904
1.367	2	1	4	95904
1.367	2	1	4	95904
1.368	2	1	4	135520
1.368	2	1	4	95904
1.369	2	1	4	135520
1.369	2	1	4	95904
1.37	2	1	4	95904
1.37	2	1	4	95904
1.371	2	1	4	95904
1.371	2	1	4	95904
1.372	2	1	4	95904
1.372	2	1	4	95904
1.375	2	1	4	95904
1.375	2	1	4	95904
1.376	2	1	4	95904
1.376	2	1	4	95904
1.377	2	1	4	95904
1.377	2	1	4	95904
1.378	2	1	4	95904
1.378	2	1	4	95904
1.379	2	1	4	135520
1.379	2	1	4	95904
1.38	2	1	4	135520
1.38	2	1	4	95904
1.381	2	1	4	95904
1.381	2	1	4	95904
1.382	2	1	4	95904
1.382	2	1	4	95904
1.383	2	1	4	95904
1.383	2	1	4	95904
1.386	2	1	4	95904
1.386	2	1	4	95904
1.387	2	1	4	95903
1.387	2	1	4	95904
1.388	2	1	4	95904
1.388	2	1	4	95904
1.389	2	1	4	95904
1.389	2	1	4	95904
1.39	2	1	4	135520
1.39	2	1	4	95904
1.391	2	1	4	135520
1.391	2	1	4	95904
1.392	2	1	4	95904
1.392	2	1	4	95904
1.393	2	1	4	95904
1.393	2	1	4	95904
1.394	2	1	4	95904
1.394	2	1	4	95904
1.397	2	1	4	95904
1.397	2	1	4	95904
1.398	2	1	4	95904
1.398	2	1	4	95904
1.399	2	1	4	95904
1.399	2	1	4	95904
1.4	2	1	4	95904
1.4	2	1	4	95904
1.401	2	1	4	135520
1.401	2	1	4	95904
1.402	2	1	4	135520
1.402	2	1	4	95904
1.403	2	1	4	95904
1.403	2	1	4	95904
1.404	2	1	4	95904
1.404	2	1	4	95904
1.405	2	1	4	95904
1.405	2	1	4	95904
1.408	2	1	4	95904
1.408	2	1	4	95904
1.409	2	1	4	95904
1.409	2	1	4	95904
1.41	2	1	4	95904
1.41	2	1	4	95904
1.411	2	1	4	95904
1.411	2	1	4	95904
1.412	2	1	4	135520
1.412	2	1	4	95904
1.413	2	1	4	135520
1.413	2	1	4	95904
1.414	2	1	4	95904
1.414	2	1	4	83356
1.415	2	1	4	15982
1.415	2	1	4	9809
1.416	2	1	4	15982
1.416	2	1	4	9809
1.419	2	1	4	39961
1.419	2	1	4	37404
1.42	2	1	4	15982
1.42	2	1	4	9809
1.421	2	1	4	15982
1.421	2	1	4	9809
1.432	2	1	4	13158
1.432	2	1	4	8309
1.433	2	1	4	8309
1.433	2	1	4	8309
1.439	2	1	4	8309
1.439	2	1	4	8309
1.44	2	1	4	8309
1.44	2	1	4	8309
1.441	2	1	4	13158
1.441	2	1	4	8309
1.452	2	1	4	8309
1.452	2	1	4	8309
1.453	2	1	4	8309
1.453	2	1	4	8309
1.459	2	1	4	8309
1.459	2	1	4	8309
1.46	2	1	4	8309
1.46	2	1	4	8309
1.461	2	1	4	8309
1.461	2	1	4	8309
1.472	2	1	4	8309
1.472	2	1	4	8309
1.473	2	1	4	8309
1.473	2	1	4	8309
1.479	2	1	4	8309
1.479	2	1	4	8309
1.48	2	1	4	8309
1.48	2	1	4	8309
1.481	2	1	4	8309
1.481	2	1	4	8307
1.492	2	1	4	8309
1.492	2	1	4	8309
1.493	2	1	4	8309
1.493	2	1	4	8309
1.499	2	1	4	8309
1.499	2	1	4	8309
1.5	2	1	4	8309
1.5	2	1	4	8309
1.501	2	1	4	8309
1.501	2	1	4	8309
1.512	2	1	4	8309
1.512	2	1	4	8309
1.513	2	1	4	8309
1.513	2	1	4	8309
1.516	2	1	4	7618
1.516	2	1	4	7618
1.52	2	1	4	8309
1.52	2	1	4	8309
1.522	2	1	4	8309
1.522	2	1	4	8309
1.533	2	1	4	8309
1.533	2	1	4	8309
1.534	2	1	4	8309
1.534	2	1	4	8309
1.536	2	1	4	8309
1.536	2	1	4	8309
1.54	2	1	4	8309
1.54	2	1	4	8309
1.542	2	1	4	8309
1.542	2	1	4	8309
1.553	2	1	4	8309
1.553	2	1	4	8309
1.554	2	1	4	8309
1.554	2	1	4	8309
1.556	2	1	4	8309
1.556	2	1	4	8309
1.56	2	1	4	8309
1.56	2	1	4	8309
1.562	2	1	4	8309
1.562	2	1	4	8309
1.573	2	1	4	8309
1.573	2	1	4	8309
1.574	2	1	4	8309
1.574	2	1	4	8309
1.576	2	1	4	8309
1.576	2	1	4	8309
1.58	2	1	4	8309
1.58	2	1	4	8309
1.582	2	1	4	8309
1.582	2	1	4	8309
1.593	2	1	4	8309
1.593	2	1	4	8309
1.594	2	1	4	8309
1.594	2	1	4	8309
1.596	2	1	4	7618
1.596	2	1	4	7618
1.6	2	1	4	8309
1.6	2	1	4	8309
1.602	2	1	4	8309
1.602	2	1	4	8309
1.613	2	1	4	8309
1.613	2	1	4	8309
1.614	2	1	4	8309
1.614	2	1	4	8309
1.616	2	1	4	8309
1.616	2	1	4	8309
1.62	2	1	4	8309
1.62	2	1	4	8309
1.622	2	1	4	8309
1.622	2	1	4	8309
1.633	2	1	4	8309
1.633	2	1	4	8309
1.634	2	1	4	8309
1.634	2	1	4	8309
1.636	2	1	4	8309
1.636	2	1	4	8309
1.64	2	1	4	8309
1.64	2	1	4	8309
1.642	2	1	4	8309
1.642	2	1	4	8309
1.653	2	1	4	8309
1.653	2	1	4	8309
1.654	2	1	4	8309
1.654	2	1	4	8309
1.656	2	1	4	8309
1.656	2	1	4	8309
1.66	2	1	4	8309
1.66	2	1	4	8309
1.662	2	1	4	8309
1.662	2	1	4	8309
1.673	2	1	4	8309
1.673	2	1	4	8309
1.674	2	1	4	8309
1.674	2	1	4	8309
1.676	2	1	4	7618
1.676	2	1	4	7618
1.68	2	1	4	8309
1.68	2	1	4	8309
1.682	2	1	4	8309
1.682	2	1	4	8309
1.693	2	1	4	8309
1.693	2	1	4	8309
1.694	2	1	4	8309
1.694	2	1	4	8309
1.696	2	1	4	8309
1.696	2	1	4	8309
1.7	2	1	4	8309
1.7	2	1	4	8309
1.702	2	1	4	8309
1.702	2	1	4	8309
1.713	2	1	4	8309
1.713	2	1	4	8309
1.714	2	1	4	8309
1.714	2	1	4	8309
1.716	2	1	4	8309
1.716	2	1	4	8309
1.72	2	1	4	8309
1.72	2	1	4	8309
1.722	2	1	4	8309
1.722	2	1	4	8309
1.733	2	1	4	8309
1.733	2	1	4	8309
1.734	2	1	4	8309
1.734	2	1	4	8309
1.736	2	1	4	8309
1.736	2	1	4	8309
1.74	2	1	4	8309
1.74	2	1	4	8309
