time(s)	cellId	rnti	lcid	packetSize
0.422402	2	1	4	1030
0.422442	2	1	4	1030
0.422482	2	1	4	1030
0.422522	2	1	4	1030
0.422562	2	1	4	1030
0.422602	2	1	4	1030
0.422642	2	1	4	1030
0.422682	2	1	4	1030
0.422722	2	1	4	1030
0.422762	2	1	4	1030
0.422802	2	1	4	1030
0.422842	2	1	4	1030
0.422882	2	1	4	1030
0.422922	2	1	4	1030
0.422962	2	1	4	1030
0.423002	2	1	4	1030
0.423042	2	1	4	1030
0.423082	2	1	4	1030
0.423122	2	1	4	1030
0.423162	2	1	4	1030
0.423202	2	1	4	1030
0.423242	2	1	4	1030
0.423282	2	1	4	1030
0.423322	2	1	4	1030
0.423362	2	1	4	1030
0.423402	2	1	4	1030
0.423442	2	1	4	1030
0.423482	2	1	4	1030
0.423522	2	1	4	1030
0.423562	2	1	4	1030
0.423602	2	1	4	1030
0.423642	2	1	4	1030
0.423682	2	1	4	1030
0.423722	2	1	4	1030
0.423762	2	1	4	1030
0.423802	2	1	4	1030
0.423842	2	1	4	1030
0.423882	2	1	4	1030
0.423922	2	1	4	1030
0.423962	2	1	4	1030
0.424002	2	1	4	1030
0.424042	2	1	4	1030
0.424082	2	1	4	1030
0.424122	2	1	4	1030
0.424162	2	1	4	1030
0.424202	2	1	4	1030
0.424242	2	1	4	1030
0.424282	2	1	4	1030
0.424322	2	1	4	1030
0.424362	2	1	4	1030
0.424402	2	1	4	1030
0.424442	2	1	4	1030
0.424482	2	1	4	1030
0.424522	2	1	4	1030
0.424562	2	1	4	1030
0.424602	2	1	4	1030
0.424642	2	1	4	1030
0.424682	2	1	4	1030
0.424722	2	1	4	1030
0.424762	2	1	4	1030
0.424802	2	1	4	1030
0.424842	2	1	4	1030
0.424882	2	1	4	1030
0.424922	2	1	4	1030
0.424962	2	1	4	1030
0.425002	2	1	4	1030
0.425042	2	1	4	1030
0.425082	2	1	4	1030
0.425122	2	1	4	1030
0.425162	2	1	4	1030
0.425202	2	1	4	1030
0.425242	2	1	4	1030
0.425282	2	1	4	1030
0.425322	2	1	4	1030
0.425362	2	1	4	1030
0.425402	2	1	4	1030
0.425442	2	1	4	1030
0.425482	2	1	4	1030
0.425522	2	1	4	1030
0.425562	2	1	4	1030
0.425602	2	1	4	1030
0.425642	2	1	4	1030
0.425682	2	1	4	1030
0.425722	2	1	4	1030
0.425762	2	1	4	1030
0.425802	2	1	4	1030
0.425842	2	1	4	1030
0.425882	2	1	4	1030
