% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	stream	harqId	ndi	rv	mcs	tbSize
0.511	1	0	1	1	51	3	0	1	12	0	12	0	1	0	8312
0.511	1	0	1	1	51	3	0	1	12	1	12	255	0	255	0
0.512	1	0	1	1	51	4	0	1	12	0	11	0	3	0	8312
0.512	1	0	1	1	51	4	0	1	12	1	11	255	0	255	0
0.513	1	0	1	1	51	5	0	1	12	0	15	0	2	0	8312
0.513	1	0	1	1	51	5	0	1	12	1	15	255	0	255	0
0.514	1	0	1	1	51	6	0	1	12	0	14	0	2	0	8312
0.514	1	0	1	1	51	6	0	1	12	1	14	255	0	255	0
0.515	1	0	1	1	51	7	0	1	12	0	13	0	2	0	8312
0.515	1	0	1	1	51	7	0	1	12	1	13	255	0	255	0
0.516	1	0	1	1	51	8	0	1	12	0	12	0	2	0	8312
0.516	1	0	1	1	51	8	0	1	12	1	12	255	0	255	0
0.517	1	0	1	1	51	9	0	1	12	0	11	1	0	0	8312
0.517	1	0	1	1	51	9	0	1	12	1	11	1	0	0	8312
0.518	1	0	1	1	52	0	0	1	12	0	15	0	3	0	8312
0.518	1	0	1	1	52	0	0	1	12	1	15	255	0	255	0
0.519	1	0	1	1	52	1	0	1	12	0	14	0	3	0	8312
0.519	1	0	1	1	52	1	0	1	12	1	14	255	0	255	0
0.52	1	0	1	1	52	2	0	1	12	0	13	0	3	0	8312
0.52	1	0	1	1	52	2	0	1	12	1	13	255	0	255	0
0.521	1	0	1	1	52	3	0	1	12	0	12	0	3	0	8312
0.521	1	0	1	1	52	3	0	1	12	1	12	255	0	255	0
0.522	1	0	1	1	52	4	0	1	12	0	11	0	1	0	8312
0.522	1	0	1	1	52	4	0	1	12	1	11	255	0	255	0
0.523	1	0	1	1	52	5	0	1	12	0	15	1	0	0	8312
0.523	1	0	1	1	52	5	0	1	12	1	15	1	0	0	8312
0.524	1	0	1	1	52	6	0	1	12	0	14	1	0	0	8312
0.524	1	0	1	1	52	6	0	1	12	1	14	1	0	0	8312
0.525	1	0	1	1	52	7	0	1	12	0	13	1	0	0	8312
